Timestamp,eigenvector,pagerank,clustering,triangles,degree,degree_centrality,average_neighbor_degree,node_clique_number,number_of_cliques,nb_of_nodes,nb_of_edges,diameter,assortativity,percolation_limit,Evento,Label,Colector,Categoria
26,0.001375406300492,1.7918899062841624e-05,0.08069608441070801,1.428637984482233,3.188453061443905,5.713459236361511e-05,689.8062791838569,2.213414087838443,3.265128030533804,55807,88969,14,-0.11548036099772001,0.997576363852759,MangoDSL2022_Normal,0,rrc04,origin_hijacks
27,0.0013753498431170001,1.791729377194873e-05,0.08068052143127101,1.428617501612556,3.188597434243532,5.713206060173679e-05,689.7924073826342,2.213394968823908,3.2651221959435253,55812,88981,14,-0.115463392542616,0.9975763562453701,MangoDSL2022_Normal,0,rrc04,origin_hijacks
28,0.001375021377021,1.791055468987871e-05,0.08070158246497301,1.424820446689234,3.188723514767252,5.711282982460333e-05,689.8564383134225,2.212544552504791,3.2725090896065048,55833,89018,13,-0.11544351119943301,0.9975766451510821,MangoDSL2022_Normal,0,rrc04,origin_hijacks
29,0.001374908133986,1.791087548359368e-05,0.080682214934659,1.426368390886946,3.189282132110617,5.712385828859625e-05,689.8555648593203,2.212673735492191,3.274376701533171,55832,89032,13,-0.11541155488782101,0.9975762755730461,MangoDSL2022_Normal,0,rrc04,origin_hijacks
30,0.0013750475414880002,1.790959237767742e-05,0.08075306983194701,1.430421233612722,3.188982018769253,5.7114390951361205e-05,689.754677407862,2.213643527473314,3.268124507486209,55836,89030,13,-0.11542224578705501,0.9975762507749301,MangoDSL2022_Normal,0,rrc04,origin_hijacks
31,0.001374937093084,1.790766806346478e-05,0.08084249567566,1.426739729952365,3.188639375380538,5.7102118074184534e-05,689.7323146228988,2.212886357938469,3.273861967694567,55842,89030,13,-0.11540752028243201,0.9975763289635111,MangoDSL2022_Normal,0,rrc04,origin_hijacks
32,0.0013749488788510002,1.7908950893656633e-05,0.080709478801346,1.4252301300189831,3.18890361402629,5.711094102523937e-05,689.73487828948,2.212668791862172,3.274347218739926,55838,89031,13,-0.11536769687058601,0.9975760365356311,MangoDSL2022_Normal,0,rrc04,origin_hijacks
33,0.0013750625856700002,1.790670606141998e-05,0.08089976181045401,1.42711075297699,3.189291789775271,5.711073328871983e-05,689.63764312348,2.213662816724863,3.264858089354463,55845,89053,13,-0.11540376636083301,0.9975759562999791,MangoDSL2022_Normal,0,rrc04,origin_hijacks
34,0.0013746361095500002,1.7900295354873342e-05,0.080777494218945,1.424290700796563,3.189295623377786,5.7090355566693856e-05,689.3221929407008,2.212727109997315,3.272890002685044,55865,89085,13,-0.115370772610472,0.9975749930374791,MangoDSL2022_Normal,0,rrc04,origin_hijacks
35,0.001375396608243,1.7900295354873373e-05,0.08092410836152,1.427673856618634,3.190154837554819,5.7105736029550685e-05,690.018566509707,2.213049315313702,3.274841134878725,55865,89109,13,-0.11553160386874801,0.997577797710377,MangoDSL2022_Normal,0,rrc04,origin_hijacks
